question_id,difficulty,category,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,question,latency_ms,prompt_chars,substitutions
CR01,simple,default_risk,0,True,,,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.status = 'D'","SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.status = 'D'",SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,2513,14681,DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)
CR01,simple,default_risk,1,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT COUNT(loan.loan_id)
FROM loan
WHERE loan.running_count > 0",,SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1596,14681,"MEASURE loan.running_count -> COUNT(CASE WHEN loan.status IN ('C', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,2,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT COUNT(loan.loan_id)
   FROM loan
   WHERE loan.running_count > 0",,SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1265,14681,"MEASURE loan.running_count -> COUNT(CASE WHEN loan.status IN ('C', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,3,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT COUNT(loan.loan_id) 
FROM loan 
WHERE loan.running_count > 0",,SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,3838,14681,"MEASURE loan.running_count -> COUNT(CASE WHEN loan.status IN ('C', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR01,simple,default_risk,4,False,"Invalid SQL: an aggregate function (from a measure concept) was used directly inside a WHERE clause. Measures are pre-aggregated and can only be used in SELECT, HAVING, or ORDER BY -- not WHERE, since WHERE filters rows before aggregation. If you need a row-level existence check (e.g. 'has at least one defaulted loan'), use a dimension-based condition or a subquery instead of a measure.",,"SELECT COUNT(loan.loan_id) 
   FROM loan 
   WHERE loan.running_count > 0",,SELECT COUNT(loan_id) FROM loan WHERE status = 'D',How many loan accounts are currently in default?,1640,14681,"MEASURE loan.running_count -> COUNT(CASE WHEN loan.status IN ('C', 'D') THEN loan.loan_id END) | DIM loan.loan_id -> loan.loan_id (no-op: concept name equals raw column) | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,0,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,1852,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,1,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,1046,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,2,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,754,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,3,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,917,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
CR02,simple,default_risk,4,True,,,SELECT loan.default_rate FROM loan,"SELECT CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan","SELECT CAST(SUM(CASE WHEN status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 FROM loan",What is the overall default rate across all loan contracts?,820,14705,"MEASURE loan.default_rate -> CAST(SUM(CASE WHEN loan.status IN ('B','D') THEN 1 ELSE 0 END) AS REAL) / COUNT(*) * 100 | DIM loan.status -> loan.status (no-op: concept name equals raw column)"
