question_id,difficulty,category,iteration,is_correct,compile_error,execution_error,concept_sql,compiled_sql,gold_sql,question,latency_ms,prompt_chars,substitutions
89,moderate,unlabeled,0,False,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN trans ON trans.account_link
   WHERE district.region = 'East Bohemia' AND trans.type_label = 'withdrawal'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN trans ON trans.account_id = account.account_id WHERE district.A3 = 'East Bohemia' AND trans.type = 'VYDAJ'",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?,1774,11622,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link trans.account -> ON trans.account_id = account.account_id | VALUE-MAP trans.type_label = 'withdrawal' -> trans.type = 'VYDAJ' | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM trans.type -> trans.type (no-op: concept name equals raw column)
89,moderate,unlabeled,1,False,"Invalid SQL: the join hint 'trans_inner.account_link' does not correspond to any defined relationship between the cubes involved. Check that you're joining cubes that actually have a relationship defined (see 'Can be joined to' for each cube in the schema above), and that the join hint is written as JOIN <target_cube> ON <cube_already_in_your_query>.<target_cube>_link -- the cube name immediately before '_link' must be the cube you are newly joining TO (matching the name right after JOIN), not the cube already in scope.",,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN trans ON trans.account_link
   WHERE district.region = 'East Bohemia' AND trans.type_label = 'withdrawal' 
   AND trans.trans_date = (SELECT MAX(trans_inner.trans_date) FROM trans AS trans_inner WHERE trans_inner.account_link = account.account_id) 
   AND trans.trans_date > account.open_date",,SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?,1469,11622,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link trans.account -> ON trans.account_id = account.account_id
89,moderate,unlabeled,2,False,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN trans ON trans.account_link
   WHERE district.region = 'East Bohemia' AND trans.type_label = 'deposit'
-- NOTE: The query counts accounts in the East Bohemia region that have a transaction labeled as 'deposit', which implies they have chosen issuance after a transaction.","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN trans ON trans.account_id = account.account_id WHERE district.A3 = 'East Bohemia' AND trans.type = 'PRIJEM'
-- NOTE: The query counts accounts in the East Bohemia region that have a transaction labeled as 'deposit', which implies they have chosen issuance after a transaction.",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?,1321,11622,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link trans.account -> ON trans.account_id = account.account_id | VALUE-MAP trans.type_label = 'deposit' -> trans.type = 'PRIJEM' | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM trans.type -> trans.type (no-op: concept name equals raw column)
89,moderate,unlabeled,3,False,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN trans ON trans.account_link
   WHERE district.region = 'East Bohemia' AND trans.type_label = 'withdrawal'
   GROUP BY account.account_id
   HAVING COUNT(trans.trans_id) > 0","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN trans ON trans.account_id = account.account_id WHERE district.A3 = 'East Bohemia' AND trans.type = 'VYDAJ'
   GROUP BY account.account_id
   HAVING COUNT(trans.trans_id) > 0",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?,1428,11622,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link trans.account -> ON trans.account_id = account.account_id | VALUE-MAP trans.type_label = 'withdrawal' -> trans.type = 'VYDAJ' | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM trans.trans_id -> trans.trans_id (no-op: concept name equals raw column) | DIM trans.type -> trans.type (no-op: concept name equals raw column)
89,moderate,unlabeled,4,False,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN trans ON trans.account_link
   WHERE district.region = 'East Bohemia' AND trans.type_label = 'deposit'
   GROUP BY account.account_id
   HAVING COUNT(trans.trans_id) > 0","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN trans ON trans.account_id = account.account_id WHERE district.A3 = 'East Bohemia' AND trans.type = 'PRIJEM'
   GROUP BY account.account_id
   HAVING COUNT(trans.trans_id) > 0",SELECT COUNT(T2.account_id) FROM district AS T1 INNER JOIN account AS T2 ON T1.district_id = T2.district_id WHERE T1.A3 = 'east Bohemia' AND T2.frequency = 'POPLATEK PO OBRATU',How many accounts who choose issuance after transaction are staying in East Bohemia region?,1582,11622,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link trans.account -> ON trans.account_id = account.account_id | VALUE-MAP trans.type_label = 'deposit' -> trans.type = 'PRIJEM' | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM trans.trans_id -> trans.trans_id (no-op: concept name equals raw column) | DIM trans.type -> trans.type (no-op: concept name equals raw column)
90,simple,unlabeled,0,True,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN loan ON loan.account_link
   WHERE district.region = 'Prague'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN loan ON loan.account_id = account.account_id WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?,1176,11624,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column)
90,simple,unlabeled,1,True,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN loan ON loan.account_link
   WHERE district.region = 'Prague'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN loan ON loan.account_id = account.account_id WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?,888,11624,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column)
90,simple,unlabeled,2,True,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN loan ON loan.account_link
   WHERE district.region = 'Prague'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN loan ON loan.account_id = account.account_id WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?,933,11624,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column)
90,simple,unlabeled,3,True,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN loan ON loan.account_link
   WHERE district.region = 'Prague'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN loan ON loan.account_id = account.account_id WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?,805,11624,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column)
90,simple,unlabeled,4,True,,,"SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_link
   JOIN loan ON loan.account_link
   WHERE district.region = 'Prague'","SELECT COUNT(account.account_id)
   FROM account
   JOIN district ON account.district_id = district.district_id JOIN loan ON loan.account_id = account.account_id WHERE district.A3 = 'Prague'",SELECT COUNT(T1.account_id) FROM account AS T1 INNER JOIN loan AS T2 ON T1.account_id = T2.account_id INNER JOIN district AS T3 ON T1.district_id = T3.district_id WHERE T3.A3 = 'Prague',How many accounts who have region in Prague are eligible for loans?,944,11624,JOIN link account.district -> ON account.district_id = district.district_id | JOIN link loan.account -> ON loan.account_id = account.account_id | DIM district.district_id -> district.district_id (no-op: concept name equals raw column) | DIM account.account_id -> account.account_id (no-op: concept name equals raw column) | DIM district.region -> district.A3 | DIM loan.account_id -> loan.account_id (no-op: concept name equals raw column)
